0,-0.02347,0.014882,0.005237
0.1,-0.023466,0.018062,0.004178
0.2,-0.023466,0.018062,0.004178
0.3,-0.025603,0.019129,0.005235
0.399994873046875,-0.024526,0.018051,0.003105
0.5,-0.023456,0.019108,0.002047
0.6,-0.024531,0.01806,0.004172
0.7,-0.0224,0.015938,0.004179
0.8,-0.024537,0.018068,0.005239
0.9,-0.024527,0.019114,0.003108
1,-0.025602,0.018067,0.005233
1.1,-0.025597,0.018058,0.004166
1.2,-0.02453,0.015934,0.004167
1.299,-0.024535,0.013817,0.005228
1.399,-0.024531,0.016997,0.004169
1.499,-0.027722,0.019109,0.003089
1.599,-0.026657,0.019111,0.003095
1.699,-0.023453,0.01273,0.002031
1.799,-0.023459,0.013802,0.0031
1.899,-0.022399,0.014875,0.004176
1.999,-0.02559,0.015924,0.003094
2.099,-0.025584,0.014852,0.002024
2.199,-0.025596,0.015932,0.00416
2.299,-0.02453,0.014871,0.004164
2.399,-0.023462,0.010622,0.004159
2.499,-0.024528,0.01062,0.004153
2.599,-0.02665,0.014851,0.002018
2.699,-0.025595,0.014869,0.004158
2.798,-0.024523,0.012737,0.003092
2.898,-0.024527,0.009557,0.004151
2.998,-0.022396,0.007435,0.004157
3.098,-0.024521,0.008486,0.003081
3.198,-0.026653,0.011671,0.003077
3.298,-0.026653,0.010608,0.003074
3.398,-0.024521,0.007423,0.003078
3.498,-0.023455,0.006362,0.003082
3.598,-0.024521,0.007423,0.003078
3.698,-0.026652,0.008482,0.003069
3.798,-0.026651,0.006356,0.003063
3.898,-0.025592,0.008492,0.004142
3.998,-0.025586,0.007421,0.003072
4.098,-0.024518,0.001046,0.003062
4.198,-0.023452,0.001047,0.003068
4.297,-0.025591,0.006367,0.004136
4.397,-0.02665,0.005293,0.003061
4.497,-0.026644,0.004222,0.001991
4.597,-0.023457,-7e-06,0.004133
4.697,-0.023446,-2.4e-05,0.001999
4.797,-0.022392,-5e-06,0.004139
4.897,-0.026649,0.003168,0.003055
4.997,-0.027714,0.003166,0.003049
5.097,-0.023446,-2.4e-05,0.001999
5.197,-0.025582,-0.001082,0.003051
5.297,-0.024516,-0.002143,0.003054
5.397,-0.024521,-0.002135,0.004121
5.497,-0.024515,-0.003206,0.003052
5.597,-0.025588,0.001052,0.004123
5.696,-0.026654,0.002113,0.00412
5.796,-0.024521,-0.003197,0.004119
5.896,-0.024514,-0.006395,0.003044
5.996,-0.022385,-0.003202,0.003064
6.096,-0.025576,-0.002153,0.001981
6.196,-0.025582,-0.001082,0.003051
6.296,-0.024515,-0.004269,0.003049
6.396,-0.02345,-0.004267,0.003055
6.496,-0.02239,-0.004257,0.004128
6.596,-0.025581,-0.003208,0.003046
6.696,-0.025577,-2.8e-05,0.001987
6.796,-0.02451,-0.004277,0.001982
6.896,-0.022379,-0.005336,0.001992
6.996,-0.022384,-0.004265,0.003061
7.095,-0.024515,-0.003206,0.003052
7.195,-0.025575,-0.003216,0.001979
7.295,-0.025581,-0.003208,0.003046
7.395,-0.02239,-0.004257,0.004128
7.495,-0.023454,-0.006384,0.004117
7.595,-0.023444,-0.004275,0.001988
7.695,-0.025587,-0.001074,0.004118
7.795,-0.023446,-0.001087,0.001996
7.895,-0.024509,-0.00534,0.00198
7.995,-0.022389,-0.005319,0.004126
8.095,-0.023454,-0.005321,0.004119
8.195,-0.022391,-0.001068,0.004136
8.295,-0.025587,-0.001074,0.004118
8.395,-0.022384,-0.004265,0.003061
8.495,-0.022379,-0.005336,0.001992
8.594,-0.022379,-0.004274,0.001994
8.694,-0.023446,-0.001087,0.001996
8.794,-0.024516,-0.002143,0.003054
8.894,-0.023454,-0.005321,0.004119
8.994,-0.023446,-0.001087,0.001996
9.094,-0.022385,-0.002139,0.003067
9.194,-0.023457,-0.00107,0.00413
9.294,-0.024517,-0.00108,0.003057
9.394,-0.023456,-0.002133,0.004127
9.494,-0.020255,-0.001073,0.003082
9.594,-0.022392,-5e-06,0.004139
9.694,-0.023464,0.00319,0.005208
9.794,-0.023453,0.00211,0.003071
9.894,-0.022387,0.001049,0.003075
9.993,-0.021327,-3e-06,0.004145
10.093,-0.022383,0.003166,0.002013
10.193,-0.023453,0.003173,0.003074
10.293,-0.02452,0.005297,0.003073
10.393,-0.023452,0.001047,0.003068
